Alcada Pes Edat Sexe Germans Esports Alcpare Alcmare Pespare Pesmare GermMare GermPare Grup
169 59 22 0 2 1 168 165 70 58 5 5 10
178 75 20 0 2 1 170 160 68 60 2 2 10
185 66 21 0 2 1 173 168 83 60 1 2 10
175 73 21 0 2 1 173 161 73 56 1 5 10
178 81 21 0 2 1 170 -1 77 60 4 2 10
183 71 21 0 2 1 175 164 75 56 7 7 10
179 80 22 0 2 1 175 162 80 65 4 3 10
185 80 21 0 2 0 175 165 70 60 5 3 10
172 67 20 0 3 0 170 152 78 54 3 3 10
178 74 20 0 2 1 161 158 65 62 5 4 10
190 85 20 0 2 1 182 168 83 65 2 5 10
171 68 20 0 2 1 172 157 75 55 4 3 10
176 75 21 0 2 1 173 165 68 55 3 2 10
174 66 21 0 2 1 167 160 60 55 5 3 10
170 59 21 1 2 1 182 158 -1 60 2 4 10
170 64 22 1 2 1 180 171 85 64 7 3 10
180 76 22 0 3 1 170 165 82 58 6 4 30
182 70 22 0 2 1 168 159 80 70 6 6 30
162 52 21 1 2 1 171 163 82 58 4 5 30
179 72 21 0 2 0 178 163 83 62 3 3 10
175 67 21 0 2 1 166 165 77 65 4 5 10
165 76 21 0 2 1 167 157 68 63 3 3 10
178 76 21 0 2 0 173 160 80 58 3 2 10
174 63 21 1 2 1 190 158 90 58 5 8 10
178 75 21 0 2 1 175 160 75 55 3 6 30
175 58 21 0 2 0 173 160 70 55 4 3 10
182 70 21 0 1 1 178 163 81 68 3 2 10
183 70 21 0 1 1 173 160 72 62 4 4 10
198 95 22 0 1 1 184 170 98 60 3 2 10
183 82 22 0 4 1 180 163 73 60 3 3 -1
178 78 21 0 3 1 172 168 89 65 3 3 20
174 65 22 1 3 1 182 180 60 80 8 12 20
181 63 21 0 1 0 182 157 89 60 1 3 20
180 67 21 0 3 0 175 160 78 56 3 5 20
173 58 21 0 1 1 180 160 80 55 1 3 20
167 57 21 1 2 1 172 157 90 60 1 1 20
178 83 22 0 1 1 174 151 80 67 3 5 20
165 55 22 1 2 1 174 162 80 65 5 2 20
165 60 21 1 4 1 170 168 75 64 4 2 20
182 81 21 0 2 0 177 165 95 70 2 2 20
177 63 21 0 2 1 173 150 84 58 2 2 20
160 55 20 1 2 1 -1 161 -1 50 2 5 20
197 86 22 0 1 1 182 170 82 60 5 4 20
185 85 21 0 2 1 167 154 63 59 11 5 20
181 63 21 0 4 0 -1 -1 70 79 2 3 20
182 62 21 0 3 1 182 167 83 60 2 1 20
185 75 20 0 7 1 175 165 75 70 8 4 20
175 68 21 0 2 1 183 165 85 55 2 4 -1
178 70 21 0 3 0 169 166 95 80 6 3 20
173 80 21 0 3 1 174 162 63 85 1 3 20
169 69 23 0 2 1 165 156 74 64 3 5 20
190 77 22 0 3 0 180 177 95 80 1 3 20
178 80 21 0 4 1 176 169 82 65 5 2 20
185 74 22 0 1 1 178 160 78 60 5 3 20
178 74 21 0 3 1 178 155 79 66 3 4 20
172 64 22 0 2 1 168 151 68 60 4 1 10
188 88 21 0 2 1 178 168 92 59 3 1 20
183 93 21 0 4 0 169 168 72 65 9 5 20
175 72 20 0 2 1 170 162 83 58 3 2 20
178 72 20 0 2 0 176 160 -1 -1 2 3 20
182 72 22 0 3 1 180 165 85 55 5 2 30
166 50 20 1 3 1 176 160 76 50 2 2 20
162 70 21 1 2 1 166 155 95 80 2 6 20
189 80 21 0 4 1 175 167 82 61 2 6 10
182 68 20 0 2 1 175 165 85 55 6 2 20
188 83 21 0 2 1 178 170 82 59 2 3 20
180 72 20 0 1 1 181 166 76 61 3 3 20
185 84 28 0 2 1 176 169 97 55 1 5 20
175 63 20 0 2 1 174 157 75 59 8 4 20
179 76 20 0 3 1 185 164 110 60 2 1 20
181 61 21 0 2 0 176 165 78 56 3 2 20
196 83 22 0 2 1 185 -1 105 60 2 1 20
175 68 20 0 3 0 168 158 85 80 7 1 20
170 64 21 0 2 1 166 161 62 58 3 2 20
192 84 21 0 2 0 183 160 100 -1 2 3 20
178 70 24 0 3 1 185 160 90 50 13 3 30
170 63 22 1 3 1 190 160 90 54 3 5 -1
170 70 21 0 2 0 165 160 75 60 2 4 30
174 63 22 0 2 0 184 168 96 74 1 3 30
179 83 21 0 2 1 168 166 89 66 2 3 30
170 65 21 0 2 0 175 155 90 49 2 2 30
170 60 22 1 2 1 185 165 97 55 3 2 30
173 68 21 0 2 1 170 163 100 62 3 2 30
178 68 21 0 2 1 180 150 77 68 1 3 30
173 68 21 0 2 0 165 164 70 72 7 2 30
177 60 21 0 1 1 172 163 78 60 7 5 30
186 69 22 0 2 1 180 153 90 57 2 2 30
185 75 22 0 2 1 182 167 97 48 1 1 30
170 58 22 1 4 0 190 160 98 49 2 2 30
177 64 21 0 2 1 174 161 76 52 2 2 30
176 59 21 0 3 1 178 160 78 54 3 2 30
