Surname Name Nationality Day Month Year Bib Speed Dist DP A B C D E JP Total
GREIDERER Simon        AUT 18 JAN 1996 17 115.0 93.7 78.0 17.5 17.0 17.5 17.0 18.0 52.0 130.0
STEKALA Andrzej        POL 30 JUN 1995 57 113.5 93.5 75.3 18.0 18.0 18.0 17.5 18.0 54.0 129.3
SELL Adrian            GER 28 APR 1998 50 113.5 93.2 75.3 18.0 17.5 18.0 17.0 18.0 53.5 128.8 
FUCHS Tim              GER 03 AUG 1997 60 112.5 93.5 73.5 18.5 18.0 18.0 17.5 18.5 54.5 128.0
HOFER Thomas           AUT 28 JAN 1996 55 111.0 93.2 70.8 17.5 17.5 17.0 17.5 17.5 52.5 123.3
SINKOVEC Jure          SLO 03 JUL 1985 14 110.0 93.5 69.0 17.5 17.0 17.5 16.5 18.0 52.0 121.0
SILIH Zak              SLO 07 NOV 1995 56 108.5 93.2 66.3 17.5 17.5 18.0 17.0 17.5 52.5 118.8
BRADATSCH Sebastian    GER 08 MAY 1996 39 108.5 93.2 66.3 17.5 17.0 17.5 17.5 17.5 52.5 118.8
MODIC Andraz           SLO 23 OCT 1996 70 108.0 93.3 65.4 17.5 17.5 18.0 18.0 17.5 53.0 118.4 
JARZABEK Dawid         POL 03 MAR 1999 67 108.0 93.9 65.4 17.5 17.5 18.0 17.5 18.0 53.0 118.4 
LEJA Krzysztof         POL 21 FEB 1996 63 108.5 93.6 66.3 18.0 17.0 17.5 17.0 17.5 52.0 118.3
SIEGEL Jonathan        GER 04 JUL 1998 12 108.5 93.6 66.3 17.5 17.5 17.0 16.0 17.5 52.0 118.3
RUDA Adam              POL 18 NOV 1995 71 108.0 93.6 65.4 17.5 17.0 17.0 17.5 18.0 52.0 117.4
SIEGEL David           GER 28 AUG 1996 58 108.5 93.7 66.3 17.5 16.5 16.5 17.0 17.5 51.0 117.3
HAMANN Martin          GER 10 APR 1997 62 108.0 93.6 65.4 17.5 16.0 17.0 17.0 18.0 51.5 116.9 
MIETUS Krzysztof       POL 08 MAR 1991 54 108.0 93.6 65.4 17.5 17.0 17.0 17.0 18.0 51.5 116.9
BIRCHLER Tobias        SUI 29 JUL 1997 53 107.5 93.3 64.5 18.0 17.0 17.0 17.5 17.5 52.0 116.5
PODZORSKI Lukasz       POL 25 JAN 1996 64 106.5 92.4 62.7 17.0 18.0 17.0 17.5 17.5 52.0 114.7
LAVTIZAR Anze          SLO 02 MAY 1996 38 109.0 93.2 67.2 15.5 15.5 16.0 16.0 16.0 47.5 114.7
JELAR Ziga             SLO 22 OCT 1997 68 106.0 93.2 61.8 17.0 17.0 17.5 17.5 17.5 52.0 113.8
LACKNER Thomas         AUT 09 APR 1993 66 106.0 93.1 61.8 17.0 17.0 17.5 17.0 17.0 51.0 112.8
LEAROYD Jonathan       FRA 03 NOV 2000 27 105.5 92.4 60.9 17.0 17.0 17.5 17.5 17.0 51.5 112.4
HAYBOECK Alexander     AUT 08 JUL 1995 59 105.5 94.0 60.9 17.0 16.5 15.5 17.0 17.0 50.5 111.4
MAYLAENDER Jan         GER 29 MAR 1992 46 105.5 93.1 60.9 16.5 17.0 16.5 17.0 17.0 50.5 111.4
WALLACE Brian          USA 03 JUL 1993 52 105.0 93.2 60.0 17.5 17.0 16.5 17.0 17.0 51.0 111.0
KARTA Samet            TUR 09 SEP 1993 45 105.0 92.5 60.0 17.0 17.0 17.0 17.0 17.0 51.0 111.0
CONTAMINE Mathis       FRA 14 SEP 2001 32 105.0 91.9 60.0 17.5 16.5 17.0 17.0 17.0 51.0 111.0
STEINER Maximilian     AUT 04 MAY 1996 42 105.5 92.8 60.9 16.5 16.5 16.5 17.0 18.0 50.0 110.9
KUS Jan                SLO 08 MAR 1998 61 104.5 93.5 59.1 17.0 17.0 17.0 17.5 17.0 51.0 110.1
ROCH-DUPLAND Thomas    FRA 03 FEB 1996 16 104.5 92.2 59.1 17.0 17.0 17.0 16.5 17.0 51.0 110.1
PAVLOVCIC Bor          SLO 27 JUN 1998 51 104.0 93.1 58.2 17.5 17.0 17.0 17.5 17.0 51.5 109.7
WANGLER Niklas         GER 21 MAR 1993 19 103.5 92.5 57.3 17.0 17.0 17.0 17.0 17.0 51.0 108.3
SCHULER Andreas        SUI 30 DEC 1995 65 105.0 93.0 60.0 16.0 15.5 15.0 17.0 16.5 48.0 108.0
HAUSWIRTH Sandro       SUI 29 AUG 2000 23 103.0 92.8 56.4 17.0 17.5 17.0 17.0 17.5 51.5 107.9
MAYLAENDER Axel        GER 02 AUG 1998 25 103.5 93.2 57.3 17.0 17.0 16.5 16.5 17.0 50.5 107.8
TOROK Eduard           ROU 02 MAY 1997 69 104.0 93.0 58.2 17.0 15.5 16.5 17.0 16.0 49.5 107.7
KYTOESAHO Niko         FIN 18 DEC 1999 8  103.0 93.3 56.4 17.0 16.5 17.0 17.0 17.0 51.0 107.4
SCHMALNAUER Maximilian AUT 27 AUG 1998 4  103.0 93.4 56.4 17.0 17.0 16.5 16.5 17.0 50.5 106.9
CINTIMAR Muhammet      TUR 16 JUL 1997 22 104.0 92.9 58.2 16.0 15.5 15.5 15.5 15.5 46.5 104.7 
PEIER Killian          SUI 28 MAR 1995 9  101.5 93.1 53.7 16.5 17.0 16.5 16.5 17.5 50.0 103.7
ROGELJ Urban           SLO 14 MAR 1998 31 101.0 92.9 52.8 16.5 17.0 17.0 17.0 16.0 50.5 103.3
IPCIOGLU Fatih         TUR 28 SEP 1997 43 101.5 93.1 53.7 16.5 15.5 15.5 16.5 16.5 48.5 102.2
KRAPEZ David           SLO 28 DEC 1993 48 100.5 93.0 51.9 16.5 16.0 16.0 16.5 16.5 49.0 100.9
MITROFAN Nicolae       ROU 26 MAR 1999 44 100.0 93.1 51.0 16.5 16.5 16.0 16.5 17.0 49.5 100.5
BARTOL Tilen           SLO 17 APR 1997 49 111.5 93.0 71.7  9.5  8.5  9.0 10.0 11.5 28.5 100.2
SCHUBERT Johannes      GER 04 APR 1997 11  99.5 93.0 50.1 16.5 16.5 17.0 16.5 16.5 49.5 99.6
DEMIR Ayberk           TUR 14 FEB 1997 30 100.0 93.2 51.0 16.0 16.5 16.0 16.0 15.5 48.0 99.0
ROMANG Kevin           SUI 23 FEB 1999 35 99.0 92.6 49.2 16.5 16.5 16.5 16.5 16.5 49.5 98.7
PITEA Sorin            ROU 09 JUL 1997 47 97.0 92.1 45.6 16.0 17.0 16.5 16.5 16.5 49.5 95.1
MATTOON Nicholas       USA 04 AUG 1995 40 97.0 92.7 45.6 16.0 16.5 16.0 16.5 16.0 48.5 94.1
CLARET-TOURNIER Luc    FRA 09 AUG 1996 33 96.5 92.9 44.7 16.0 15.5 14.5 16.0 15.5 47.0 91.7
FALKENSTEINER Michael  AUT 10 JUL 1998 26 94.5 92.7 41.1 16.0 16.5 16.5 16.5 16.5 49.5 90.6
KRASSNEGGER Jan-oswald AUT 26 JUN 1997 10 95.0 93.2 42.0 16.0 16.0 16.0 16.0 16.5 48.0 90.0
HUG Tim                SUI 11 AUG 1987 7  91.0 92.8 34.8 16.0 16.0 16.0 16.0 16.0 48.0 82.8
MUELLER Pascal         SUI 17 JUL 2001 36 90.5 92.4 33.9 16.0 15.5 15.5 16.0 16.0 47.5 81.4
ESPIAU Martin          FRA 17 FEB 1995 5  90.5 93.1 33.9 16.0 15.5 15.0 16.0 16.0 47.5 81.4
FUCHS Manuel           SUI 23 OCT 1999 41 90.5 91.8 33.9 16.0 15.0 14.5 16.0 15.5 46.5 80.4
VON-GRUENIGEN Luca     SUI 03 DEC 1997 2  88.5 92.8 30.3 16.0 16.0 16.0 16.5 16.5 48.5 78.8
ANDEREGG Mario         SUI 30 MAR 1999 37 89.0 91.6 31.2 16.0 15.0 16.0 15.0 15.5 46.5 77.7
RABAUT Guillaume       FRA 14 APR 1997 24 87.5 92.9 28.5 16.0 16.0 15.5 16.5 16.0 48.0 76.5
LARSON Casey           USA 16 DEC 1998 21 86.5 92.1 26.7 16.0 16.5 15.5 16.5 16.0 48.5 75.2
EDLUND Trevor          USA 02 MAR 1997 13 84.5 92.5 23.1 15.5 16.0 15.0 16.0 15.5 47.0 70.1
GASIENICA Patrick      USA 28 NOV 1998 18 84.0 92.0 22.2 15.5 15.5 15.0 16.0 15.5 46.5 68.7
PERINI Janne           SUI 11 MAY 1999 1  83.0 92.8 20.4 16.0 15.0 15.0 16.0 15.0 46.0 66.4
LACROIX Olan           SUI 23 JAN 2001 29 81.0 91.9 16.8 14.5 14.5 13.5 15.5 15.0 44.0 60.8
BROWN A.J              USA 28 FEB 1995 3  81.5 93.3 17.7 14.0 14.0 14.0 15.0 14.0 42.0 59.7
KAISER Ben             USA 08 MAY 1998 28 79.5 91.5 14.1 15.0 14.5 14.5 15.5 15.0 44.5 58.6
GUNGEN Munir           TUR 24 AUG 1998 34 78.5 92.5 12.3 13.5 14.5 14.0 14.5 13.5 42.0 54.3
MOLNAR Kristof         HUN 06 NOV 2000 20 74.5 92.2  5.1  13.5 12.0 13.5 14.0 13.5 40.5 45.6
MOLNAR Florian         HUN 14 MAR 2002 15 73.0 92.3  2.4  13.5 13.0 13.5 14.0 14.5 41.0 43.4
KELEMEN Peter          HUN 06 FEB 1999 6  68.0 92.3 -6.6  13.0 12.0 13.5 13.5 12.5 39.0 32.4
