"Edat";"Sexe";"H";"Pes";"D2";"D4";"MO";"PC";"Envas";"Vidre";"Aspecte"
29;"M";180;90;83;82;1;1;1;1;"E"
36;"M";180;83;73;76;2;2;2;2;"F"
20;"M";183;70;77;72;1;1;1;1;"T"
18;"M";166;53;68;69;2;2;2;2;"T"
51;"M";178;80;80;84;2;2;2;2;"F"
21;"F";165;50;70;65;1;2;2;2;"E"
23;"F";173;68;66;70;1;2;2;2;"E"
42;"M";185;90;87;88;1;2;2;2;"E"
45;"F";160;50;65;70;1;2;2;2;"E"
39;"M";173;74;70;72;2;2;2;2;"T"
26;"M";182;90;70;72;2;2;2;2;"E"
81;"F";165;90;85;73;1;2;2;2;"T"
19;"F";160;47;70;65;1;1;1;1;"T"
20;"M";175;73;80;81;1;2;1;2;"F"
47;"M";181;90;78;75;2;2;2;2;"T"
55;"M";178;84;74;72;1;1;1;1;"T"
33;"F";162;50;63;63;2;2;2;2;"F"
26;"F";168;74;71;77;2;2;2;2;"E"
19;"F";165;50;63;73;2;2;2;2;"E"
18;"F";167;53;68;70;2;2;2;2;"M"
20;"M";181;63;84;82;2;2;2;2;"M"
58;"F";156;58;65;70;2;2;2;2;"E"
20;"M";180;72;70;70;2;2;2;2;"F"
24;"M";185;88;72;74;2;2;2;2;"T"
19;"F";167;65;68;67;2;2;2;2;"F"
27;"F";160;54;63;63;2;2;2;2;"T"
20;"F";160;52;65;66;2;2;1;2;"M"
20;"M";180;67;74;72;2;2;2;2;"F"
33;"M";180;100;75;72;2;1;1;1;"E"
50;"M";169;83;68;68;1;2;2;2;"T"
20;"M";173;82;70;72;1;1;1;1;"E"
54;"F";163;72;69;68;1;2;2;2;"E"
48;"F";151;56;54;53;2;2;2;2;"E"
18;"F";165;52;68;69;2;2;2;2;"E"
20;"F";172;52;72;74;2;2;2;2;"E"
59;"M";167;82;77;78;2;1;1;1;"F"
45;"F";158;54;73;75;1;1;1;2;"E"
31;"M";173;85;76;78;2;2;2;2;"E"
18;"F";170;58;70;70;2;2;2;2;"F"
54;"F";158;53;70;70;1;1;1;1;"T"
34;"F";159;51;63;60;1;2;2;2;"E"
18;"M";175;65;75;80;2;2;2;2;"T"
33;"M";187;83;76;71;2;2;2;2;"E"
18;"M";180;67;69;67;1;1;1;2;"T"
18;"F";173;58;74;76;2;2;2;2;"T"
51;"M";163;81;74;76;1;2;2;2;"E"
53;"F";163;78;70;73;2;2;2;2;"E"
27;"M";172;64;74;75;1;2;2;2;"E"
28;"F";167;48;69;70;1;1;2;2;"E"
22;"F";163;53;64;68;1;2;2;2;"E"
46;"F";173;64;70;71;1;2;2;2;"E"
20;"F";165;52;75;79;2;2;2;2;"F"
53;"M";175;98;79;75;1;2;2;2;"E"
46;"F";160;59;70;75;1;2;2;1;"E"
27;"M";170;66;64;64;1;1;1;1;"T"
47;"M";174;74;75;74;2;2;2;2;"E"
48;"M";174;80;74;76;2;2;2;2;"E"
51;"M";174;68;81;84;1;2;2;2;"E"
34;"M";183;67;80;90;2;1;2;2;"T"
51;"M";176;83;91;86;1;2;2;2;"T"
21;"M";180;75;80;78;1;1;1;1;"T"
20;"M";178;68;74;73;1;2;2;2;"E"
22;"M";181;85;85;85;2;2;2;2;"M"
19;"M";181;67;75;75;2;2;2;2;"E"
29;"F";163;58;67;68;1;1;2;2;"E"
48;"F";175;67;70;70;1;1;1;1;"T"
18;"F";160;50;66;65;1;2;1;2;"E"
30;"F";163;55;68;72;2;2;2;2;"E"
22;"F";160;57;65;67;2;2;2;2;"T"
23;"F";164;53;61;64;2;2;2;2;"M"
18;"F";171;65;68;72;1;1;1;1;"E"
49;"F";160;63;69;68;2;2;2;2;"E"
70;"M";172;80;72;70;1;1;1;1;"M"
59;"M";155;63;70;70;2;2;2;2;"T"
54;"M";173;80;75;78;1;2;1;1;"E"
32;"M";178;71;70;72;2;2;2;2;"E"
19;"M";185;79;84;83;2;2;2;2;"F"
20;"F";169;56;70;75;2;2;2;2;"E"
24;"F";160;53;75;75;2;2;2;2;"E"
27;"M";178;75;74;73;1;2;2;2;"E"
60;"M";175;115;80;75;2;2;2;2;"E"
18;"M";169;62;70;60;1;1;1;1;"E"
31;"M";182;79;70;80;2;2;2;2;"E"
46;"M";174;76;85;80;1;1;1;1;"E"
19;"M";178;78;82;86;1;1;1;1;"T"
21;"F";165;51;63;64;1;2;1;2;"E"
21;"M";172;71;70;70;2;2;2;2;"E"
28;"M";172;78;72;72;1;1;1;1;"E"
19;"M";180;79;72;76;2;2;2;2;"E"
67;"F";161;63;63;61;2;2;1;2;"T"
22;"F";166;53;70;68;1;2;2;2;"M"
58;"F";168;65;69;73;2;2;2;2;"E"
19;"M";186;79;79;75;1;1;1;1;"T"
32;"F";168;68;64;70;2;2;2;2;"E"
19;"F";158;52;68;67;2;2;2;2;"T"
19;"F";163;57;71;72;1;2;2;2;"T"
19;"F";165;55;70;65;1;2;2;2;"E"
29;"F";157;65;70;68;2;2;2;2;"F"
44;"F";168;65;70;72;2;2;2;2;"T"
22;"M";182;76;70;72;1;2;2;2;"T"
21;"M";173;97;77;80;1;2;2;2;"F"
24;"F";183;73;82;81;2;1;1;1;"E"
47;"F";171;69;76;76;1;1;1;2;"T"
24;"F";170;54;69;71;1;2;2;2;"E"
22;"M";188;91;71;75;1;1;1;1;"T"
22;"F";162;60;65;65;2;2;2;2;"M"
55;"M";171;83;67;68;2;2;2;2;"E"
38;"F";180;78;75;75;2;2;2;2;"E"
18;"M";180;63;80;90;1;1;1;1;"E"
77;"M";172;76;77;74;1;1;1;1;"E"
31;"F";159;73;73;74;2;2;2;2;"E"
53;"M";175;60;78;74;2;2;1;2;"M"
40;"M";170;65;64;69;1;1;1;1;"E"
42;"F";169;65;72;70;1;2;2;2;"T"
21;"M";186;71;72;78;1;1;1;1;"E"
28;"M";188;81;81;79;1;1;1;1;"T"
18;"F";170;63;73;73;1;2;2;2;"T"
32;"M";195;95;80;78;2;1;1;1;"F"
19;"M";173;62;69;78;2;1;2;2;"E"
18;"M";175;62;64;71;2;1;2;2;"E"
37;"F";164;47;66;65;1;2;2;2;"T"
50;"F";169;72;73;80;2;2;2;2;"T"
48;"F";169;65;69;72;2;2;2;2;"E"
26;"M";170;75;70;75;2;2;2;2;"E"
33;"F";169;70;69;63;2;2;2;2;"F"
27;"F";164;85;71;69;2;2;2;2;"E"
22;"M";168;64;74;76;2;2;2;2;"F"
29;"F";168;65;80;75;1;2;2;2;"E"
58;"M";156;76;70;69;2;1;1;1;"M"
19;"F";154;55;71;70;2;2;2;2;"E"
19;"M";173;56;72;70;2;2;2;2;"E"
20;"F";167;56;76;74;1;1;1;1;"E"
22;"M";185;87;88;90;1;2;2;2;"T"
20;"F";163;59;64;65;2;1;2;2;"F"
70;"M";165;80;70;63;1;1;1;1;"M"
20;"F";168;55;68;73;2;2;2;2;"T"
45;"F";168;62;73;72;2;2;2;2;"M"
21;"F";172;65;68;65;1;2;1;2;"T"
50;"M";179;69;71;73;2;2;2;2;"F"
25;"F";182;77;76;79;2;1;2;2;"E"
20;"F";171;74;73;75;1;1;1;2;"M"
21;"F";156;46;61;64;2;2;1;2;"E"
21;"F";158;52;71;72;2;2;2;2;"M"
21;"M";181;65;82;79;2;2;2;2;"E"
23;"F";171;66;73;76;1;1;1;1;"E"
25;"F";164;50;73;72;1;2;2;2;"E"
26;"M";182;78;86;83;1;2;2;2;"E"
39;"M";169;65;80;75;1;2;2;2;"E"
31;"M";185;83;82;85;1;2;2;2;"E"
26;"M";184;87;84;78;2;2;2;2;"M"
51;"M";179;80;85;90;2;2;1;2;"E"
19;"M";163;61;70;63;2;2;2;2;"T"
41;"M";178;75;78;75;2;2;2;1;"E"
46;"F";171;68;73;76;2;2;2;2;"E"
18;"M";178;68;74;73;1;1;1;1;"T"
20;"F";165;55;74;70;1;2;1;2;"E"
61;"M";171;78;71;72;2;2;2;2;"E"
36;"F";161;90;62;64;2;2;2;2;"E"
20;"M";190;76;77;83;2;2;2;2;"E"
29;"M";184;80;87;89;1;1;2;2;"E"
18;"M";172;61;70;67;2;2;2;2;"F"
41;"F";156;66;65;62;1;1;1;1;"T"
48;"M";169;68;79;78;2;2;2;2;"F"
19;"F";169;54;65;64;2;1;1;2;"M"
62;"F";159;68;65;63;1;1;1;2;"M"
39;"F";165;72;70;70;2;2;2;2;"F"
51;"M";180;91;80;80;1;1;2;2;"E"
20;"M";175;73;80;82;2;2;2;2;"M"
19;"M";165;71;73;75;2;2;2;1;"M"
22;"F";162;67;65;69;1;1;1;1;"T"
20;"M";184;86;80;80;1;2;2;1;"T"
21;"F";167;60;67;69;1;2;2;2;"E"
21;"F";170;57;70;65;2;2;2;2;"M"
26;"M";175;80;80;81;1;1;1;1;"E"
20;"M";175;62;69;71;1;1;1;1;"T"
25;"F";170;65;70;70;2;2;2;2;"E"
29;"M";165;55;73;69;2;2;2;2;"F"
46;"M";180;90;73;72;1;1;1;2;"T"
68;"M";180;76;80;79;2;1;2;1;"E"
20;"M";180;80;78;71;2;2;2;2;"T"
42;"M";174;90;78;80;2;2;2;2;"F"
19;"M";177;81;77;70;1;1;1;1;"M"
20;"M";191;81;77;80;1;2;2;2;"F"
20;"F";152;56;66;65;2;1;2;1;"E"
42;"F";166;42;70;72;2;2;1;1;"E"
19;"F";154;45;64;66;2;1;1;2;"M"
19;"M";171;65;72;80;1;1;1;1;"T"
65;"M";172;78;75;80;1;1;2;2;"M"
69;"F";169;70;71;75;1;2;1;2;"E"
