"";"nid";"sexe";"edat";"weight";"height";"eng_kn";"siblings"
"1";130;"H";20;56,0618225538888;158,775014791202;"High";0
"2";794;"D";19;63,3696036825269;174,160559295757;"High";0
"3";129;"D";20;59,2823552528373;169,24751655128;"Very High";5
"4";453;"D";20;60,1360455395807;158,761776921996;"Average";7
"5";920;"D";19;62,5181201511426;168,169989280724;"High";0
"6";836;"D";20;58,8260748118022;174,959563375955;"Average";0
"7";347;"D";19;59,666141215889;188,949619365027;"Low";1
"8";977;"D";23;58,6693003040205;178,35318586906;"High";0
"9";388;"D";19;63,5169162853848;175,603370494372;"High";0
"10";343;"H";21;62,324855449236;177,438511354417;"Average";0
"11";392;"D";24;59,2403584898003;161,1254736977;"High";0
"12";867;"D";19;61,2718878159244;189,244558281452;"Very High";0
"13";816;"D";19;63,8416866040239;169,54619770459;"Low";1
"14";705;"D";19;58,1272440880968;171,503415339695;"Average";0
"15";190;"H";20;61,0091430599397;154,586937646468;"Average";0
"16";381;"D";19;57,4718035134642;171,191137818629;"Very High";0
"17";683;"D";20;63,0005920872917;175,458382227222;"High";1
"18";551;"H";20;59,8561205053015;162,998438599925;"High";0
"19";610;"H";19;61,0082844752368;171,915323479206;"Average";0
"20";899;"D";20;60,0251378612186;171,82442150761;"None";1
"21";224;"H";23;67,166217749761;170,678078736894;"Very High";0
"22";229;"D";19;58,6559393752713;177,494236654514;"Low";1
"23";791;"D";20;52,9242767196981;180,529121685554;"Average";0
"24";330;"D";21;53,4030120102414;167,375508127758;"Average";1
"25";203;"D";19;66,864902646439;174,318385124904;"Average";0
"26";617;"D";22;58,8746834016499;168,946122255091;"Average";0
"27";102;"D";19;60,8686701300785;161,723569039794;"Average";1
"28";779;"D";20;58,5844234974727;160,674784799908;"Very High";0
"29";106;"D";19;57,7654411173707;170,777989539051;"Very High";0
"30";161;"D";20;61,1068186597088;181,515886353012;"Low";0
"31";967;"H";19;65,0530294428971;174,075061880494;"High";0
"32";860;"D";20;56,60264526858;162,408911338747;"Average";0
"33";565;"D";19;61,5449090077023;155,383178278351;"Average";1
"34";522;"D";20;62,0266917266495;167,629962482565;"Average";1
"35";992;"D";19;60,3446158501926;168,980274841199;"High";1
"36";168;"D";19;55,2911801408979;173,107422009004;"High";1
"37";503;"H";20;68,9335145790164;163,884909176666;"High";0
"38";519;"D";21;62,7784360495226;167,355860018581;"Very High";2
"39";766;"D";24;68,830605299068;184,530920600463;"High";5
"40";972;"D";20;60,7413703604415;185,797360088291;"Very High";0
"41";858;"D";20;56,8648195878384;179,873175295575;"High";0
"42";725;"H";24;66,6075613742539;159,114623051351;"Very High";0
"43";694;"D";22;59,7142184389123;168,347932222185;"Average";1
"44";114;"D";20;62,0801367578016;165,99338406124;"Very High";2
"45";327;"H";19;64,5646317823861;164,316602705263;"Average";2
"46";924;"H";22;59,4618350419275;171,310753030536;"Average";1
"47";661;"H";19;57,7432304635406;159,524285927175;"High";0
"48";974;"D";19;62,3159442426669;176,557101759299;"Very High";0
"49";279;"H";20;58,8062566257796;164,472213978325;"Average";0
"50";266;"H";21;61,6760068524388;173,313575282546;"High";0
"51";602;"D";24;62,4338025084331;165,942549731529;"High";0
"52";629;"H";20;57,5656925817625;172,877227590447;"High";1
"53";139;"H";20;58,6439746529777;169,09373643251;"High";0
"54";197;"H";22;55,2595163221974;157,702059577907;"High";0
"55";213;"H";20;61,8607572845823;165,231913331044;"Average";2
"56";548;"H";21;49,3960353263823;170,42208996057;"High";0
"57";927;"H";21;56,8065842305351;161,936839897383;"Very High";8
"58";167;"H";21;67,3022999830889;167,273746189487;"Average";5
"59";768;"D";19;61,1950138745771;178,437800319622;"Very High";0
"60";639;"D";23;63,2785592717138;179,271441787923;"Average";0
"61";663;"H";22;54,1450128501919;186,248984430015;"High";2
"62";354;"D";20;63,4442496026004;173,386258778238;"Average";5
"63";439;"H";22;59,5706290895028;175,000083510712;"Average";0
"64";420;"H";19;58,6237887447457;160,652257946214;"Average";0
"65";627;"H";19;60,7874125268872;167,628775561367;"High";2
"66";883;"D";19;61,3555549057836;169,049349083759;"High";1
"67";732;"D";19;61,6921290419514;160,005800123707;"Very High";2
"68";355;"D";24;61,2630792741238;163,359559006512;"Average";0
"69";678;"H";22;57,9155012185222;182,910489272892;"Average";0
"70";852;"D";21;58,973780326167;169,246969592822;"High";0
"71";649;"D";24;64,9491188155387;155,980006384252;"Low";6
"72";433;"H";19;61,2166723987303;188,722537770226;"Average";0
"73";674;"D";19;71,5794994525486;171,105153410262;"Average";0
"74";156;"D";21;62,5971711438265;161,262612388714;"High";0
"75";966;"H";20;55,602259766084;177,745911901949;"Very High";0
"76";606;"H";24;60,4014836629808;177,132599519482;"Average";0
"77";675;"H";19;68,1065842250862;164,96268332253;"Low";0
"78";752;"H";19;60,0418398742794;164,061021486812;"High";4
"79";913;"D";19;62,5249525524618;159,541547897935;"Average";0
"80";750;"D";21;62,777158147762;146,335837069251;"Very High";3
"81";474;"H";21;60,3870695644317;181,863517110729;"Average";0
"82";208;"D";20;56,1006522210237;170,131020082544;"Very High";0
"83";607;"D";23;64,9077689556489;170,769546285099;"Low";1
"84";349;"H";21;61,7514725874166;159,727263462564;"Average";5
"85";413;"H";22;65,9861874987476;165,341501116997;"Average";0
"86";818;"D";23;62,8268127697099;184,011772724384;"High";4
"87";296;"H";20;63,5384629321486;163,871905217152;"Very High";0
"88";643;"H";20;61,3861091667082;173,013303946294;"Average";3
"89";928;"H";19;62,6874061860255;180,980693853376;"Very High";1
"90";880;"H";19;60,2293647068538;170,654807313948;"Average";0
"91";832;"D";21;63,456481910092;179,357711281929;"Average";0
"92";562;"D";19;58,0327415719556;176,48251662209;"Low";0
"93";611;"D";19;57,1398194995643;171,204333355938;"Average";1
"94";291;"D";20;56,7006722410292;174,567299880858;"Average";3
"95";827;"H";21;53,370488806421;168,955149385523;"High";0
"96";569;"D";20;60,3633265736065;176,171460344046;"Very High";1
"97";314;"D";21;58,0268911353376;160,718722337794;"Average";0
"98";103;"D";19;61,8096516984493;172,090954354867;"Average";3
"99";598;"H";19;66,4398229012047;158,633246345891;"High";3
"100";149;"D";20;61,9477534336666;165,857976943625;"Average";0
