Rank;Word;Absolute Frequency
1;the;205088
2;of;116411
3;and;100284
4;to;83215
5;a;64041
6;in;57387
7;i;38536
8;that;37399
9;was;34388
10;it;32184
11;he;28241
12;his;27669
13;with;24867
14;as;24807
15;for;22450
16;is;21850
17;had;20770
18;at;19284
19;on;18942
20;by;18434
21;you;18040
22;s;17518
23;be;17416
24;not;17372
25;but;16515
26;this;16220
27;which;15225
28;have;14779
29;or;14204
30;from;13947
31;my;12744
32;all;12435
33;we;11775
34;they;11770
35;her;11760
36;were;11225
37;him;10397
38;said;10391
39;an;9771
40;she;9728
41;are;9592
42;their;9439
43;so;9399
44;me;9196
45;one;9184
46;no;9055
47;been;8716
48;mr;8301
49;there;8028
50;would;7984
51;when;7844
52;if;7630
53;them;6861
54;who;6734
55;what;6662
56;will;6230
57;out;6135
58;up;6120
59;more;5949
60;its;5925
61;any;5819
62;very;5664
63;into;5660
64;could;5637
65;then;5570
66;t;5487
67;some;5453
68;time;5264
69;other;5170
70;man;5068
71;our;5020
72;upon;5017
73;about;4987
74;do;4931
75;than;4878
76;has;4810
77;only;4740
78;can;4639
79;now;4560
80;old;4523
81;may;4321
82;these;4313
83;your;4174
84;two;4131
85;general;4109
86;little;3946
87;such;3900
88;did;3773
89;great;3762
90;should;3640
91;made;3607
92;see;3582
93;must;3568
94;before;3546
95;how;3417
96;after;3409
97;first;3327
98;most;3324
99;down;3316
100;over;3230
101;like;3211
102;us;3191
103;same;3155
104;know;3138
105;much;3107
106;where;3089
107;being;3006
108;well;2996
109;never;2971
110;here;2906
111;come;2883
112;own;2834
113;good;2814
114;say;2806
115;back;2786
116;project;2784
117;men;2765
118;many;2755
119;came;2752
120;work;2707
121;without;2662
122;way;2633
123;long;2582
124;day;2563
125;again;2559
126;might;2526
127;under;2512
128;through;2501
129;life;2490
130;himself;2450
131;even;2431
132;found;2396
133;go;2382
134;those;2365
135;make;2365
136;pickwick;2335
137;every;2319
138;sir;2308
139;new;2278
140;each;2202
141;m;2171
142;am;2170
143;still;2138
144;while;2119
145;mrs;2110
146;another;2099
147;right;2085
148;hand;2060
149;went;2057
150;too;2049
151;d;2036
152;think;1994
153;away;1985
154;between;1981
155;thought;1973
156;yet;1971
157;people;1946
158;just;1939
159;young;1937
160;place;1932
161;last;1930
162;head;1921
163;1;1890
164;shall;1885
165;left;1866
166;years;1859
167;having;1858
168;nothing;1854
169;eyes;1842
170;once;1838
171;though;1820
172;mind;1798
173;part;1786
174;off;1779
175;saw;1772
176;thus;1771
177;also;1767
178;ever;1760
179;three;1755
180;take;1753
181;name;1726
182;took;1726
183;lady;1726
184;--;1724
185;gutenberg-tm;1722
186;far;1720
187;species;1694
188;don;1692
189;both;1662
190;night;1658
191;whole;1633
192;against;1631
193;*;1611
194;god;1606
195;house;1572
196;few;1538
197;because;1536
198;thing;1534
199;however;1513
200;let;1507
201;seemed;1506
202;got;1503
203;seen;1500
204;works;1500
205;replied;1492
206;tell;1488
207;why;1460
208;full;1457
209;get;1455
210;give;1447
211;quite;1443
212;dear;1437
213;face;1414
214;always;1410
215;looked;1408
216;sam;1408
217;put;1406
218;soon;1405
219;look;1392
220;told;1372
221;among;1361
222;course;1358
223;gwen;1342
224;case;1317
225;knew;1302
226;heard;1290
227;things;1284
228;world;1283
229;find;1283
230;several;1278
231;country;1275
232;during;1268
233;better;1264
234;days;1259
235;state;1252
236;army;1252
237;ll;1246
238;done;1244
239;called;1243
240;boy;1242
241;use;1232
242;hundred;1228
243;moment;1227
244;room;1215
245;going;1214
246;gutenberg;1191
247;father;1190
248;whose;1181
249;set;1173
250;large;1158
251;war;1154
252;hands;1152
253;end;1151
254;door;1150
255;fact;1143
256;side;1143
257;within;1141
258;less;1139
259;near;1137
260;small;1134
261;order;1132
262;point;1129
263;next;1125
264;round;1125
265;nature;1121
266;nor;1121
267;states;1119
268;words;1114
269;until;1114
270;gentleman;1113
271;light;1111
272;almost;1105
273;certain;1104
274;thousand;1102
275;word;1102
276;cannot;1100
277;enough;1095
278;miss;1085
279;myself;1084
280;form;1078
281;known;1077
282;voice;1077
283;rather;1074
284;yes;1074
285;says;1073
286;water;1072
287;whom;1071
288;given;1057
289;taken;1057
290;gave;1057
291;something;1052
292;mother;1051
293;o;1045
294;till;1041
295;asked;1039
296;does;1033
297;heart;1031
298;present;1028
299;love;1023
300;terms;1017
301;letter;1017
302;believe;1014
303;together;1013
304;true;1006
305;best;1002
306;felt;998
307;brought;998
308;oh;990
309;means;989
310;number;989
311;e;988
312;turned;987
313;fire;986
314;death;984
315;often;979
316;weller;979
317;matter;977
318;four;967
319;river;966
320;indeed;964
321;morning;959
322;manner;955
323;since;952
324;perhaps;951
325;stood;944
326;labor;936
327;common;934
328;public;931
329;others;929
330;friend;929
331;either;928
332;half;927
333;themselves;923
334;person;922
335;united;920
336;home;914
337;began;914
338;whether;904
339;possible;902
340;looking;899
341;woman;898
342;earth;894
343;feet;892
344;ground;885
345;reason;885
346;became;884
347;least;883
348;nearly;877
349;joe;871
350;hear;867
351;open;867
352;air;866
353;power;865
354;natural;863
355;passed;860
356;above;860
357;behind;859
358;city;858
359;gone;858
360;question;855
361;subject;852
362;short;850
363;black;845
364;high;843
365;want;843
366;electronic;841
367;become;839
368;foundation;838
369;received;837
370;lord;835
371;keep;832
372;times;831
373;doubt;830
374;along;827
375;alone;824
376;itself;824
377;road;822
378;spirit;818
379;read;816
380;character;815
381;body;811
382;lay;811
383;dead;810
384;human;809
385;p;803
386;son;800
387;different;798
388;anything;797
389;kind;795
390;second;792
391;uncle;790
392;towards;789
393;held;788
394;court;780
395;law;777
396;sent;777
397;chapter;775
398;already;775
399;land;775
400;family;774
401;used;774
402;call;763
403;leave;763
404;period;762
405;force;760
406;hope;752
407;sure;751
408;story;747
409;enemy;744
410;bible;744
411;white;744
412;king;742
413;across;742
414;five;741
415;followed;741
416;sea;741
417;coming;739
418;music;739
419;close;738
420;returned;738
421;return;737
422;moral;735
423;suppose;735
424;strong;731
425;sister;727
426;division;720
427;aunt;720
428;act;718
429;therefore;718
430;miles;718
431;reached;714
432;show;713
433;early;713
434;view;711
435;agreement;710
436;forms;707
437;friends;705
438;poor;699
439;position;698
440;fell;698
441;mean;697
442;truth;697
443;beyond;695
444;girl;692
445;forth;691
446;dave;687
447;strange;685
448;cause;684
449;really;683
450;sat;682
451;making;680
452;children;678
453;year;676
454;sort;675
455;london;673
456;command;672
457;ve;672
458;orders;670
459;c;670
460;history;666
461;beautiful;663
462;line;662
463;account;658
464;book;655
465;ten;655
466;_;655
467;age;654
468;hour;650
469;herself;647
470;sense;645
471;appeared;643
472;hold;640
473;master;637
474;business;636
475;wife;636
476;lost;633
477;idea;630
478;effect;628
479;child;628
480;kept;625
481;purpose;622
482;following;621
483;further;620
484;latter;618
485;except;616
486;speak;616
487;de;615
488;red;614
489;help;612
490;continued;611
491;six;611
492;grant;608
493;understand;603
494;around;602
495;clear;602
496;toward;601
497;cases;601
498;written;601
499;answer;600
500;turn;598
501;laws;594
502;none;592
503;length;591
504;free;588
505;company;586
506;action;586
507;money;586
508;sometimes;584
509;arms;584
510;winkle;583
511;important;582
512;bed;581
513;able;580
514;change;579
515;seems;578
516;wish;575
517;probably;575
518;certainly;575
519;suddenly;575
520;colonel;575
521;south;574
522;corps;572
523;saying;571
524;party;570
525;riar;570
526;taking;569
527;necessary;567
528;knowledge;566
529;eye;566
530;below;566
531;produced;564
532;front;564
533;remained;564
534;town;564
535;answered;563
536;mere;563
537;dark;563
538;brother;562
539;carried;561
540;rest;560
541;re;560
542;met;559
543;feel;559
544;sound;558
545;attention;558
546;ready;555
547;although;551
548;--i;551
549;north;550
550;table;544
551;);542
552;living;541
553;union;538
554;sherman;538
555;ask;536
556;single;534
557;won;534
558;neither;533
559;sight;532
560;daughter;532
561;live;530
562;street;529
563;soul;529
