ik;Number of different words
100;60
200;111
300;150
400;188
500;241
600;290
700;319
800;349
900;368
1000;394
1100;425
1200;451
1300;481
1400;504
1500;528
1600;567
1700;593
1800;631
1900;662
2000;689
2100;712
2200;728
2300;751
2400;773
2500;788
2600;808
2700;838
2800;851
2900;881
3000;911
3100;943
3200;968
3300;992
3400;1012
3500;1037
3600;1063
3700;1087
3800;1109
3900;1132
4000;1159
4100;1185
4200;1205
4300;1227
4400;1251
4500;1281
4600;1302
4700;1323
4800;1343
4900;1364
5000;1389
5100;1408
5200;1425
5300;1448
5400;1475
5500;1495
5600;1511
5700;1530
5800;1546
5900;1563
6000;1584
6100;1606
6200;1625
6300;1639
6400;1661
6500;1681
6600;1702
6700;1715
6800;1727
6900;1747
7000;1763
7100;1786
7200;1802
7300;1819
7400;1837
7500;1847
7600;1859
7700;1871
7800;1890
7900;1901
8000;1909
8100;1924
8200;1934
8300;1944
8400;1951
8500;1959
8600;1965
8700;1984
8800;1994
8900;2001
9000;2006
9100;2031
9200;2039
9300;2059
9400;2070
9500;2081
9600;2089
9700;2103
9800;2112
9900;2124
10000;2134
10100;2147
10200;2156
10300;2165
10400;2187
10500;2206
10600;2227
10700;2244
10800;2255
10900;2268
11000;2292
11100;2307
11200;2316
11300;2326
11400;2345
11500;2358
11600;2368
11700;2378
11800;2389
11900;2406
12000;2424
12100;2435
12200;2451
12300;2460
12400;2468
12500;2480
12600;2490
12700;2509
12800;2528
12900;2545
13000;2570
13100;2587
13200;2598
13300;2616
13400;2629
13500;2651
13600;2669
13700;2681
13800;2692
13900;2712
14000;2728
14100;2752
14200;2767
14300;2785
14400;2798
14500;2817
14600;2829
14700;2842
14800;2860
14900;2873
15000;2883
15100;2889
15200;2903
15300;2923
15400;2933
15500;2946
15600;2957
15700;2968
15800;2985
15900;2995
16000;3007
16100;3016
16200;3034
16300;3053
16400;3070
16500;3084
16600;3095
16700;3109
16800;3128
16900;3145
17000;3163
17100;3177
17200;3195
17300;3210
17400;3223
17500;3236
17600;3249
17700;3268
17800;3274
17900;3290
18000;3305
18100;3318
18200;3329
18300;3339
18400;3347
18500;3364
18600;3376
18700;3394
18800;3412
18900;3419
19000;3426
19100;3434
19200;3446
19300;3459
19400;3466
19500;3482
19600;3500
19700;3516
19800;3523
19900;3532
20000;3544
20100;3554
20200;3566
20300;3575
20400;3585
20500;3602
20600;3611
20700;3620
20800;3627
20900;3638
21000;3647
21100;3656
21200;3672
21300;3680
21400;3694
21500;3711
21600;3727
21700;3736
21800;3740
21900;3746
22000;3755
22100;3768
22200;3781
22300;3786
22400;3796
22500;3799
22600;3803
22700;3810
22800;3820
22900;3835
23000;3852
23100;3861
23200;3867
23300;3868
23400;3885
23500;3890
23600;3903
23700;3915
23800;3921
23900;3924
24000;3936
24100;3942
24200;3953
24300;3965
24400;3984
24500;3998
24600;4009
24700;4015
24800;4024
24900;4030
25000;4041
25100;4048
25200;4060
25300;4068
25400;4074
25500;4079
25600;4091
25700;4094
25800;4103
25900;4113
26000;4119
26100;4129
26200;4142
26300;4152
26400;4157
26500;4165
26600;4175
26700;4180
26800;4190
26900;4198
27000;4215
27100;4230
27200;4245
27300;4254
27400;4263
27500;4268
27600;4275
